,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9448288390905073,0.9518318195734259,660.6089477539062,13.153218269348145,9.180354118347168,0.6292746457076442,0.6379222369629554,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8376896176092521,0.8561986781494092,357.12591552734375,7.250879287719727,1.5600063800811768,0.451996260926437,0.4696575205287402,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3717408787349236,0.38666666666666666,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.20108451730445875,0.21,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.1690763683950639,0.205,742.699951171875,-4.436077117919922,-3.9639945030212402,0.23100748712728109,0.23,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7605430654581609,0.7750710900473934,455.1136779785156,6.683654308319092,3.801635980606079,0.304171439604552,0.3285308056872038,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6411942341609669,0.64,705.5601806640625,1.7374608516693115,0.5250592231750488,0.36234824098077417,0.364,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.47186929928802995,0.47333333333333333,1018.1295166015625,1.143693208694458,0.7385656237602234,0.3136738091573312,0.32666666666666666,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6681117454248561,0.7021276595744681,295.8448181152344,2.9980099201202393,-0.03588629886507988,0.23297166219807652,0.2531914893617021,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9402067724273643,0.94,720.2166137695312,1.7753251791000366,-1.4800893068313599,0.4748175126514863,0.484,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9131684737141116,0.9114285714285715,347.6981201171875,1.5519119501113892,-0.914469838142395,0.3944626240423144,0.39714285714285713,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
