,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9412275304202348,0.9481579753036025,660.6089477539062,13.4773530960083,9.359415054321289,0.6301466473335385,0.6398612103275845,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8460611565579079,0.8628079311035449,357.12591552734375,7.373624801635742,1.6044856309890747,0.4607911308434195,0.4808732225115161,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3585931366827258,0.37333333333333335,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.22338111606534602,0.23333333333333334,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.1715831313685788,0.21,742.699951171875,-4.436077117919922,-3.9639945030212402,0.19613076464732662,0.1975,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7596043754882346,0.7746919431279621,455.1136779785156,6.683654308319092,3.801635980606079,0.2987486523204146,0.3252132701421801,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6439533146591969,0.644,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3414080736620686,0.352,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.47174880783072215,0.47,1018.1295166015625,1.143693208694458,0.7385656237602234,0.30959679836863074,0.32,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.671444523725478,0.7046808510638298,295.8448181152344,3.0541865825653076,0.01659141667187214,0.23687724190213952,0.2548936170212766,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9483072363275473,0.948,720.2166137695312,1.9576705694198608,-1.3616118431091309,0.4175125171219879,0.424,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9187653569552433,0.9171428571428571,347.6981201171875,1.5519119501113892,-0.914469838142395,0.38857244689905446,0.38857142857142857,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9643374833751421,0.9693877551020408,514.1784057617188,16.003782272338867,6.007505893707275,0.7945738394304283,0.8012166405023547,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7083800002541721,0.7186046511627907,627.3285522460938,8.238811492919922,6.197288990020752,0.3035481219605294,0.31348837209302327,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6291035221222334,0.6432624255668946,467.0438232421875,8.143096923828125,7.702066898345947,0.3524339933751465,0.37408023738396456,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.760724803816613,0.775,465.54461669921875,-0.9281141757965088,-4.00962495803833,0.3953552123552123,0.405,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.36329551188075593,0.404,624.01123046875,-4.112975597381592,-4.27752685546875,0.24102500909759783,0.242,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.7487689679429204,0.75,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9672318595601748,0.9708108108108108,488.1847229003906,13.049514770507812,4.970063209533691,0.7872401367776658,0.7978378378378378,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.8197115384615385,0.82,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.48375341633768604,0.49,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8122516421743763,0.8231111111111111,398.235595703125,5.609590530395508,1.2879033088684082,0.4204960198032579,0.43244444444444446,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.9558718718933774,0.956,239.72740173339844,2.2293736934661865,-2.419517993927002,0.5731164660107999,0.582,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
20,sun397,RN50 openai,RN50,openai,0.594709160122846,0.8928499181639296,0.59836,0.7747449273961176,0.8003528225806451,497.2579040527344,8.997037887573242,4.713502407073975,0.27036103621760754,0.2896673387096774,0.8805046677589417,0.779728353023529,0.7113891243934631,0.8050659894943237
21,svhn,RN50 openai,RN50,openai,0.267440073755378,0.6903042409342348,0.59836,0.03195754716981132,0.038,576.5956420898438,-6.311128616333008,-4.670888423919678,0.11248127062856664,0.114,0.9813440442085266,0.515189528465271,0.5253313183784485,0.8370237350463867
22,voc2007,RN50 openai,RN50,openai,0.6434962606837606,0.9141292735042736,0.59836,0.899995717256821,0.9035175879396985,294.5638122558594,3.104762554168701,-1.1620843410491943,0.4774136733358074,0.49447236180904525,0.8862248659133911,0.672693133354187,0.6036297082901001,0.8283053636550903
