,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.941900720964114,0.9485661802224716,660.6089477539062,13.476774215698242,9.362513542175293,0.625532797073094,0.6357791611388918,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8417837348829019,0.8596034448227519,357.12591552734375,7.359051704406738,1.6169506311416626,0.45360027332772745,0.4698578009212898,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.36054144472946126,0.38,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.2004846605147439,0.21333333333333335,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.17258226921022668,0.2075,742.699951171875,-4.436077117919922,-3.9639945030212402,0.20727492683176718,0.21,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7599093742631442,0.7746919431279621,455.1136779785156,6.697449684143066,3.8101468086242676,0.303216603812246,0.3288151658767772,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6402435442649814,0.64,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3549084952669351,0.372,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.45244409250359957,0.4533333333333333,1018.1295166015625,1.143693208694458,0.7385656237602234,0.3243308572621048,0.3333333333333333,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6657313116796669,0.6987234042553192,295.8448181152344,3.0541865825653076,0.01659141667187214,0.2480704421890715,0.2676595744680851,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9422940283182346,0.942,720.2166137695312,1.9405081272125244,-1.3654134273529053,0.4672587906926225,0.468,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9186815688418439,0.9171428571428571,347.6981201171875,1.5519119501113892,-0.914469838142395,0.41752052037493054,0.41714285714285715,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9637221098163028,0.9691915227629513,514.1784057617188,16.0091552734375,6.017096042633057,0.7944901048931645,0.8004317111459969,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7028773275016803,0.7144186046511628,627.3285522460938,8.193538665771484,6.152060508728027,0.31034990902857984,0.31953488372093025,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.627585761722202,0.6424805020350061,467.0438232421875,8.081321716308594,7.658204078674316,0.3497931702289627,0.3702508170098442,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7650634920460454,0.78,465.54461669921875,-0.936227560043335,-4.013579368591309,0.43874553772571306,0.44,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.37529403430536135,0.416,624.01123046875,-4.112975597381592,-4.27752685546875,0.2504423222867424,0.254,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.6691729323308271,0.67,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9669470146432615,0.9702702702702702,488.1847229003906,13.030022621154785,4.980734825134277,0.7612285909183562,0.7718918918918919,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.8098288459613652,0.81,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.5757575757575757,0.58,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8081675548922156,0.82,398.235595703125,5.583645820617676,1.27421236038208,0.40886053498036584,0.42088888888888887,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.9559206485735695,0.956,239.72740173339844,2.2411770820617676,-2.4104549884796143,0.5466552886587766,0.558,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
20,sun397,RN50 openai,RN50,openai,0.594709160122846,0.8928499181639296,0.59836,0.7728929740610491,0.798538306451613,497.2579040527344,8.985321998596191,4.715733528137207,0.2715088492084111,0.29012096774193546,0.8805046677589417,0.779728353023529,0.7113891243934631,0.8050659894943237
21,svhn,RN50 openai,RN50,openai,0.267440073755378,0.6903042409342348,0.59836,0.034436274509803924,0.04,576.5956420898438,-6.311128616333008,-4.670888423919678,0.10363143384690596,0.11,0.9813440442085266,0.515189528465271,0.5253313183784485,0.8370237350463867
22,voc2007,RN50 openai,RN50,openai,0.6434962606837606,0.9141292735042736,0.59836,0.9023905478037791,0.9055276381909547,294.5638122558594,3.116250991821289,-1.1459753513336182,0.4776205356364386,0.49246231155778897,0.8862248659133911,0.672693133354187,0.6036297082901001,0.8283053636550903
23,cars,RN101 openai,RN101,openai,0.6114911080711354,0.9251336898395722,0.62292,0.9347714859223848,0.9450964384120829,374.7283020019531,10.195011138916016,6.909566879272461,0.6626560900106951,0.6713950403102358,0.8644231557846069,0.7998359799385071,0.6902579665184021,0.580987274646759
24,cifar100,RN101 openai,RN101,openai,0.4891,0.7811,0.62292,0.8446946864928111,0.8606048467854996,210.68153381347656,5.440577507019043,1.1241328716278076,0.4899356272107298,0.5085119166833567,0.8152886033058167,0.707895815372467,0.5876596570014954,0.7360517978668213
25,clevr_closest_object_distance,RN101 openai,RN101,openai,0.1398,0.7666666666666667,0.62292,0.340907091184131,0.3566666666666667,360.2536315917969,-1.6258667707443237,-1.5824207067489624,0.1783166765585783,0.18333333333333332,0.9685349464416504,0.5663290023803711,0.5707501173019409,0.7842612862586975
26,clevr_count_all,RN101 openai,RN101,openai,0.239,0.8299333333333333,0.62292,0.11227562270588559,0.17,463.4930419921875,-4.121850490570068,-3.592329978942871,0.22110320233150496,0.2225,0.9418001770973206,0.490905225276947,0.4868776202201843,0.677837610244751
