,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9409053852160019,0.9480559240738851,660.6089477539062,13.413166046142578,9.322358131408691,0.6339127516610619,0.6430247984488213,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8438110533879101,0.8612056879631484,357.12591552734375,7.376922607421875,1.6134939193725586,0.4657740084999133,0.4848788303625075,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.38528700393393045,0.4033333333333333,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.2269374143368692,0.23333333333333334,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.17897642813232256,0.2125,742.699951171875,-4.436077117919922,-3.9639945030212402,0.20811879475689007,0.2075,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7596973940415421,0.7746919431279621,455.1136779785156,6.706654071807861,3.8156113624572754,0.30402008736695807,0.3290047393364929,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6444863581736737,0.644,705.5601806640625,1.7374608516693115,0.5250592231750488,0.32002260417113837,0.336,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4659447565701185,0.4666666666666667,1018.1295166015625,1.143693208694458,0.7385656237602234,0.3120487424996518,0.34,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6698077329220442,0.703404255319149,295.8448181152344,3.0572922229766846,0.02384374476969242,0.2511799238342264,0.2680851063829787,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9441785898124158,0.944,720.2166137695312,1.9603229761123657,-1.3605401515960693,0.46014369150626333,0.468,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9213188316042907,0.92,347.6981201171875,1.5519119501113892,-0.914469838142395,0.4371612027363478,0.4342857142857143,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9640948323079389,0.9693877551020408,514.1784057617188,15.990155220031738,6.009044647216797,0.7985204059107432,0.8051412872841445,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7053048751566701,0.7162790697674418,627.3285522460938,8.229438781738281,6.132440090179443,0.3017553643871825,0.3125581395348837,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6287127540798813,0.6430218337109289,467.0438232421875,8.128838539123535,7.694928169250488,0.35033933203868184,0.37143372696834215,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
