,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9408164683884706,0.9475456679252985,660.6089477539062,13.34598445892334,9.30629825592041,0.6256741808909625,0.6358812123686091,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8458275352948728,0.8630082114960945,357.12591552734375,7.402768611907959,1.6265925168991089,0.4688782349093308,0.4888844382134989,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3693255550486101,0.38333333333333336,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.20401321629442148,0.21,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.1837935680927468,0.22,742.699951171875,-4.436077117919922,-3.9639945030212402,0.20906843671930364,0.21,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7583211798171707,0.773649289099526,455.1136779785156,6.697719573974609,3.8096935749053955,0.30629325832381726,0.3340284360189573,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6399748604380939,0.64,705.5601806640625,1.7374608516693115,0.5250592231750488,0.37721965930321877,0.396,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4661763262953739,0.4666666666666667,1018.1295166015625,1.143693208694458,0.7385656237602234,0.29882816619393077,0.31666666666666665,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6748322822416093,0.7076595744680851,295.8448181152344,3.0761890411376953,0.03167445585131645,0.25554320484993154,0.27361702127659576,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9441323550973296,0.944,720.2166137695312,1.9553180932998657,-1.3513805866241455,0.42780406465438475,0.444,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9424298484697591,0.9428571428571428,347.6981201171875,5.308644771575928,1.562026858329773,0.4275122105579821,0.4257142857142857,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9643582423586818,0.9695839874411303,514.1784057617188,16.006446838378906,6.015350341796875,0.7960371048785256,0.8016091051805337,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7057393659952178,0.7158139534883721,627.3285522460938,8.219356536865234,6.150166988372803,0.31818328924094313,0.32651162790697674,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6276132595613179,0.6424604527136757,467.0438232421875,8.143280982971191,7.697287082672119,0.35359958466501873,0.3740401387413036,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7576626499656466,0.77,465.54461669921875,-0.9297590255737305,-4.011248588562012,0.4530468449403616,0.46,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.38043865029042423,0.42,624.01123046875,-4.112975597381592,-4.27752685546875,0.22686679738136437,0.23,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.7785829307568439,0.78,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9673235137930273,0.9708108108108108,488.1847229003906,13.025306701660156,4.963858127593994,0.776639194175834,0.787027027027027,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.8098288459613652,0.81,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.40840473276213796,0.42,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8111184027214899,0.8222222222222222,398.235595703125,5.592198371887207,1.2806646823883057,0.41496396486273307,0.42577777777777776,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.9578962780350574,0.958,239.72740173339844,2.2743544578552246,-2.3792309761047363,0.5343901837839891,0.546,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
20,sun397,RN50 openai,RN50,openai,0.594709160122846,0.8928499181639296,0.59836,0.7751721822628941,0.8008568548387097,497.2579040527344,9.011004447937012,4.721668720245361,0.27459374715648394,0.29289314516129034,0.8805046677589417,0.779728353023529,0.7113891243934631,0.8050659894943237
21,svhn,RN50 openai,RN50,openai,0.267440073755378,0.6903042409342348,0.59836,0.03640469738030714,0.042,576.5956420898438,-6.311128616333008,-4.670888423919678,0.07762728302273104,0.078,0.9813440442085266,0.515189528465271,0.5253313183784485,0.8370237350463867
22,voc2007,RN50 openai,RN50,openai,0.6434962606837606,0.9141292735042736,0.59836,0.903544266612181,0.9065326633165829,294.5638122558594,3.104762554168701,-1.1620843410491943,0.47750148982155105,0.49246231155778897,0.8862248659133911,0.672693133354187,0.6036297082901001,0.8283053636550903
23,cars,RN101 openai,RN101,openai,0.6114911080711354,0.9251336898395722,0.62292,0.9310001861587058,0.9419328502908461,374.7283020019531,10.115490913391113,6.858090877532959,0.6631841684051676,0.6723135013776916,0.8644231557846069,0.7998359799385071,0.6902579665184021,0.580987274646759
