,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9452664988196103,0.9521379732625778,660.6089477539062,13.153218269348145,9.180354118347168,0.6303561049180922,0.6391468517195632,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8380733253872371,0.8561986781494092,357.12591552734375,7.250879287719727,1.5600063800811768,0.45504770921749754,0.4734628479871821,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3820809838258616,0.4,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.22473987715120033,0.23,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.17642210598593666,0.2125,742.699951171875,-4.436077117919922,-3.9639945030212402,0.1725511237817559,0.175,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.760829937887927,0.7755450236966824,455.1136779785156,6.683654308319092,3.801635980606079,0.2978595583949571,0.32492890995260665,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6415837200369575,0.644,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3041617568905705,0.32,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.47108250573594695,0.47333333333333333,1018.1295166015625,1.143693208694458,0.7385656237602234,0.2829459421286664,0.30333333333333334,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6649855343673732,0.6982978723404255,295.8448181152344,2.9980099201202393,-0.03588629886507988,0.24172830024129666,0.26170212765957446,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9481156794071749,0.948,720.2166137695312,1.7753251791000366,-1.4800893068313599,0.4574262997796138,0.46,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9160585960753206,0.9142857142857143,347.6981201171875,1.5519119501113892,-0.914469838142395,0.3882169058036854,0.3942857142857143,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9594989739625572,0.9668367346938775,514.1784057617188,15.519282341003418,5.76323127746582,0.7895854192613668,0.7959183673469388,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7098147704772432,0.7204651162790697,627.3285522460938,8.238811492919922,6.197288990020752,0.3096299797480904,0.32,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6116873917131092,0.6278845961064218,467.0438232421875,7.472753524780273,7.292603015899658,0.3530165786730503,0.37383964552799887,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7681808717594923,0.78,465.54461669921875,0.011998236179351807,-3.043337821960449,0.46709039381120065,0.485,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
