,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.941396741775326,0.9481579753036025,660.6089477539062,13.4773530960083,9.359415054321289,0.630232367384056,0.6401673640167364,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8429939793778839,0.8604045663929502,357.12591552734375,7.373624801635742,1.6044856309890747,0.4713219280584155,0.4916883637091929,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3697159832824808,0.38666666666666666,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.17295912835211738,0.17333333333333334,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.17574023699577956,0.2125,742.699951171875,-4.436077117919922,-3.9639945030212402,0.1895108791347135,0.19,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7600864318305448,0.7754502369668247,455.1136779785156,6.683654308319092,3.801635980606079,0.29793203378905236,0.322654028436019,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.63730533165913,0.636,705.5601806640625,1.7374608516693115,0.5250592231750488,0.35709182896305164,0.372,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.48248419871226894,0.48333333333333334,1018.1295166015625,1.143693208694458,0.7385656237602234,0.3109395500402377,0.32,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6744120723783618,0.7072340425531914,295.8448181152344,3.0541865825653076,0.01659141667187214,0.25634037516812624,0.27489361702127657,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9482406399403445,0.948,720.2166137695312,1.9576705694198608,-1.3616118431091309,0.4337782557666972,0.438,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9215248753627733,0.92,347.6981201171875,1.5519119501113892,-0.914469838142395,0.4362291346759526,0.43714285714285717,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9647168002997222,0.9697802197802198,514.1784057617188,16.003782272338867,6.007505893707275,0.7950755186742925,0.8014128728414442,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7062953178923465,0.718139534883721,627.3285522460938,8.238811492919922,6.197288990020752,0.31394107192764925,0.3227906976744186,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6293953147481177,0.6435631653868517,467.0438232421875,8.143096923828125,7.702066898345947,0.3530357604447767,0.373719349600016,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7625129018693375,0.775,465.54461669921875,-0.9281141757965088,-4.00962495803833,0.4219251306178605,0.435,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3776987419653578,0.416,624.01123046875,-4.112975597381592,-4.27752685546875,0.2146653840776657,0.222,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.6989160979526294,0.7,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9680289120258305,0.9713513513513513,488.1847229003906,13.049514770507812,4.970063209533691,0.786972740476256,0.7956756756756757,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.7898108297467722,0.79,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.5396419437340153,0.55,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8109982156996266,0.8226666666666667,398.235595703125,5.609590530395508,1.2879033088684082,0.4169629278827516,0.4262222222222222,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.953843213089613,0.954,239.72740173339844,2.2293736934661865,-2.419517993927002,0.5524999787370114,0.562,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
20,sun397,RN50 openai,RN50,openai,0.594709160122846,0.8928499181639296,0.59836,0.7729554477167985,0.7988911290322581,497.2579040527344,8.997037887573242,4.713502407073975,0.274318734198154,0.2926411290322581,0.8805046677589417,0.779728353023529,0.7113891243934631,0.8050659894943237
21,svhn,RN50 openai,RN50,openai,0.267440073755378,0.6903042409342348,0.59836,0.03544973544973545,0.042,576.5956420898438,-6.311128616333008,-4.670888423919678,0.10739657925458687,0.112,0.9813440442085266,0.515189528465271,0.5253313183784485,0.8370237350463867
22,voc2007,RN50 openai,RN50,openai,0.6434962606837606,0.9141292735042736,0.59836,0.9033322206790364,0.9065326633165829,294.5638122558594,3.104762554168701,-1.1620843410491943,0.496991322184208,0.5125628140703518,0.8862248659133911,0.672693133354187,0.6036297082901001,0.8283053636550903
23,cars,RN101 openai,RN101,openai,0.6114911080711354,0.9251336898395722,0.62292,0.9362087463231682,0.9463210531686906,374.7283020019531,10.210709571838379,6.912092685699463,0.663624713475503,0.6739463210531687,0.8644231557846069,0.7998359799385071,0.6902579665184021,0.580987274646759
24,cifar100,RN101 openai,RN101,openai,0.4891,0.7811,0.62292,0.8447366095271654,0.8596034448227519,210.68153381347656,5.4475836753845215,1.112748622894287,0.4820630311945275,0.5015021029441218,0.8152886033058167,0.707895815372467,0.5876596570014954,0.7360517978668213
25,clevr_closest_object_distance,RN101 openai,RN101,openai,0.1398,0.7666666666666667,0.62292,0.36720058104276254,0.38,360.2536315917969,-1.6258667707443237,-1.5824207067489624,0.19292384415936595,0.19666666666666666,0.9685349464416504,0.5663290023803711,0.5707501173019409,0.7842612862586975
26,clevr_count_all,RN101 openai,RN101,openai,0.239,0.8299333333333333,0.62292,0.11198435005639346,0.17,463.4930419921875,-4.121850490570068,-3.592329978942871,0.21856067713684268,0.225,0.9418001770973206,0.490905225276947,0.4868776202201843,0.677837610244751
27,country211,RN101 openai,RN101,openai,0.169431279620853,0.3942654028436019,0.62292,0.7776779757014476,0.7933649289099526,263.5511474609375,5.079733848571777,2.741499662399292,0.3412475618746988,0.3670142180094787,0.886817216873169,0.6476315855979919,0.5724011659622192,0.7169192433357239
28,diabetic_retinopathy,RN101 openai,RN101,openai,0.2552847433794235,1.0,0.62292,0.7632048934038702,0.772,427.2987976074219,1.7722305059432983,0.290397584438324,0.3015997783026979,0.316,0.9820497632026672,0.8460060358047485,0.840462327003479,0.7304077744483948
29,dmlab,RN101 openai,RN101,openai,0.1385089069716296,0.8032988783813504,0.62292,0.5463082349609195,0.5666666666666667,560.16943359375,0.8090618252754211,0.3654467761516571,0.3225902444033012,0.33666666666666667,0.9297521114349365,0.6988058686256409,0.7045884132385254,0.7526620030403137
30,dtd,RN101 openai,RN101,openai,0.4367021276595744,0.7393617021276596,0.62292,0.6774572598605697,0.7187234042553191,170.0780487060547,2.552917957305908,-0.12478660047054291,0.30051318223945855,0.31617021276595747,0.8664695024490356,0.6984894871711731,0.6437501907348633,0.7544629573822021
31,eurosat,RN101 openai,RN101,openai,0.3033333333333333,0.7901851851851852,0.62292,0.8973552726226106,0.896,306.69049072265625,2.6446101665496826,0.2519201636314392,0.48543709907690646,0.488,0.8944022059440613,0.7156988978385925,0.6636344194412231,0.6444272994995117
