,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9410733141884088,0.9476477191550158,660.6089477539062,13.476774215698242,9.362513542175293,0.6292479835982839,0.6391468517195632,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8416660804684468,0.8598037252153015,357.12591552734375,7.359051704406738,1.6169506311416626,0.46595997849000176,0.48467854996995796,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.35742337008693154,0.37333333333333335,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.19347798011106807,0.20333333333333334,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.18368634490672225,0.22,742.699951171875,-4.436077117919922,-3.9639945030212402,0.23758006943749876,0.24,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7587902678247196,0.7738388625592417,455.1136779785156,6.697449684143066,3.8101468086242676,0.30175578954381344,0.32758293838862557,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.64814103373542,0.648,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3258225816350135,0.34,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4556486432957021,0.45666666666666667,1018.1295166015625,1.143693208694458,0.7385656237602234,0.37201379650986716,0.38666666666666666,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6716084294263035,0.7051063829787234,295.8448181152344,3.0541865825653076,0.01659141667187214,0.25751189925186735,0.2804255319148936,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9440292861930942,0.944,720.2166137695312,1.9405081272125244,-1.3654134273529053,0.4806825364964521,0.486,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9214794256872454,0.92,347.6981201171875,1.5519119501113892,-0.914469838142395,0.4151446686218797,0.4142857142857143,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9625851927544579,0.9686028257456829,514.1784057617188,16.0091552734375,6.017096042633057,0.7960804610999019,0.8016091051805337,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7119888521636364,0.7218604651162791,627.3285522460938,8.193538665771484,6.152060508728027,0.30706261718316963,0.32046511627906976,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6274779227875548,0.6422399101790405,467.0438232421875,8.081321716308594,7.658204078674316,0.3540965196992165,0.375243098021132,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7562125998489634,0.77,465.54461669921875,-0.936227560043335,-4.013579368591309,0.45688029346369174,0.48,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3815502777209479,0.418,624.01123046875,-4.112975597381592,-4.27752685546875,0.2542584141681909,0.258,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
