,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9326092060667823,0.9424431064394326,660.6089477539062,13.006783485412598,8.933890342712402,0.6281111619123867,0.6380242881926728,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8557792146638765,0.8722211095533747,357.12591552734375,7.694370269775391,1.9563636779785156,0.4610573262497562,0.4802723813338674,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.36802603194438016,0.36666666666666664,700.2335815429688,0.9570176601409912,0.9143765568733215,0.2695324017199017,0.27666666666666667,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.1773818317790544,0.25,742.699951171875,-5.025059700012207,-4.454709053039551,0.20072444482774893,0.2025,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7547387942310317,0.7720379146919432,455.1136779785156,6.097402095794678,3.3367202281951904,0.3041115573658882,0.3313744075829384,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6301940600064423,0.632,705.5601806640625,1.7374608516693115,0.5250592231750488,0.40340920889154297,0.408,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4318695008072502,0.47,1018.1295166015625,1.1204242706298828,0.7386114001274109,0.2937985613157556,0.30666666666666664,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.667206435894619,0.7063829787234043,295.8448181152344,2.751370429992676,-0.14760228991508484,0.2412196135284753,0.26085106382978723,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9422980555352668,0.942,720.2166137695312,1.8322519063949585,-1.4717886447906494,0.4212358154485262,0.434,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9242848676293931,0.9228571428571428,347.6981201171875,1.5519119501113892,-0.914469838142395,0.4316727713317266,0.4342857142857143,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9619716043350836,0.9682103610675039,514.1784057617188,15.514315605163574,5.631035327911377,0.7969828665129254,0.8033751962323391,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.6947249085497759,0.7102325581395349,627.3285522460938,7.9003095626831055,6.000817775726318,0.32057316045350065,0.3330232558139535,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6293207439330708,0.6436433626721736,467.0438232421875,8.143096923828125,7.702066898345947,0.3530593016401603,0.37361910299336365,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7689311514079316,0.78,465.54461669921875,-1.0700985193252563,-4.176303863525391,0.4794268346054439,0.495,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3726879872415224,0.414,624.01123046875,-4.315661430358887,-4.449435234069824,0.23530262040468103,0.242,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.78997899789979,0.79,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9600461627413207,0.9654054054054054,488.1847229003906,12.778182983398438,4.827572822570801,0.7903094780610765,0.7994594594594595,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.7996794871794872,0.8,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.548440065681445,0.56,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8000663770979543,0.812,398.235595703125,5.302276134490967,1.1369976997375488,0.41336816636554324,0.4271111111111111,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.9448486397935827,0.946,239.72740173339844,2.215608596801758,-2.32483172416687,0.5851750377730598,0.59,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
20,sun397,RN50 openai,RN50,openai,0.594709160122846,0.8928499181639296,0.59836,0.7633820274960572,0.790070564516129,497.2579040527344,8.701862335205078,4.654970645904541,0.2777375892676053,0.29662298387096775,0.8805046677589417,0.779728353023529,0.7113891243934631,0.8050659894943237
21,svhn,RN50 openai,RN50,openai,0.267440073755378,0.6903042409342348,0.59836,0.02348235294117647,0.028,576.5956420898438,-6.255651950836182,-4.613958835601807,0.09892727386821248,0.104,0.9813440442085266,0.515189528465271,0.5253313183784485,0.8370237350463867
22,voc2007,RN50 openai,RN50,openai,0.6434962606837606,0.9141292735042736,0.59836,0.9054662108981255,0.9085427135678392,294.5638122558594,3.2153689861297607,-1.0694022178649902,0.4767105883186581,0.4884422110552764,0.8862248659133911,0.672693133354187,0.6036297082901001,0.8283053636550903
23,cars,RN101 openai,RN101,openai,0.6114911080711354,0.9251336898395722,0.62292,0.9344837139530096,0.9457087457903868,374.7283020019531,9.863993644714355,6.561269283294678,0.663141054281912,0.6723135013776916,0.8644231557846069,0.7998359799385071,0.6902579665184021,0.580987274646759
24,cifar100,RN101 openai,RN101,openai,0.4891,0.7811,0.62292,0.8552616573549117,0.8692169036651312,210.68153381347656,5.856251239776611,1.5433975458145142,0.4860801582384846,0.5069096735429601,0.8152886033058167,0.707895815372467,0.5876596570014954,0.7360517978668213
25,clevr_closest_object_distance,RN101 openai,RN101,openai,0.1398,0.7666666666666667,0.62292,0.41884267702727723,0.4266666666666667,360.2536315917969,0.5095464587211609,0.3884337842464447,0.2159546161713161,0.22,0.9685349464416504,0.5663290023803711,0.5707501173019409,0.7842612862586975
26,clevr_count_all,RN101 openai,RN101,openai,0.239,0.8299333333333333,0.62292,0.10101874003189794,0.175,463.4930419921875,-4.567169189453125,-3.8434157371520996,0.216428399720498,0.2175,0.9418001770973206,0.490905225276947,0.4868776202201843,0.677837610244751
27,country211,RN101 openai,RN101,openai,0.169431279620853,0.3942654028436019,0.62292,0.7751263657062618,0.791563981042654,263.5511474609375,4.636346340179443,2.382218360900879,0.3371377424248806,0.36208530805687206,0.886817216873169,0.6476315855979919,0.5724011659622192,0.7169192433357239
28,diabetic_retinopathy,RN101 openai,RN101,openai,0.2552847433794235,1.0,0.62292,0.7632654562623271,0.776,427.2987976074219,1.7722305059432983,0.290397584438324,0.34257732116025597,0.352,0.9820497632026672,0.8460060358047485,0.840462327003479,0.7304077744483948
29,dmlab,RN101 openai,RN101,openai,0.1385089069716296,0.8032988783813504,0.62292,0.40622211868484176,0.47,560.16943359375,0.6050077080726624,0.2106594443321228,0.3171439237215871,0.3333333333333333,0.9297521114349365,0.6988058686256409,0.7045884132385254,0.7526620030403137
30,dtd,RN101 openai,RN101,openai,0.4367021276595744,0.7393617021276596,0.62292,0.6660212885349427,0.711063829787234,170.0780487060547,2.362403631210327,-0.16904036700725555,0.2877834603138925,0.3046808510638298,0.8664695024490356,0.6984894871711731,0.6437501907348633,0.7544629573822021
31,eurosat,RN101 openai,RN101,openai,0.3033333333333333,0.7901851851851852,0.62292,0.8974326868559117,0.896,306.69049072265625,2.5812323093414307,0.22279098629951477,0.47416648505297976,0.474,0.8944022059440613,0.7156988978385925,0.6636344194412231,0.6444272994995117
32,fer2013,RN101 openai,RN101,openai,0.185238078651294,0.7994357170225365,0.62292,0.9094411558332958,0.9085714285714286,178.33462524414062,0.9909637570381165,-0.8771343231201172,0.4277280729238018,0.43714285714285717,0.9389193654060364,0.796532154083252,0.7667571902275085,0.8196507096290588
33,flowers,RN101 openai,RN101,openai,0.6471306471306472,0.8498168498168498,0.62292,0.9595275605491025,0.9652668759811617,249.77493286132812,11.24794864654541,4.121161460876465,0.7749535187652115,0.7831632653061225,0.737277626991272,0.8170873522758484,0.6032822132110596,0.5699504613876343
34,gtsrb,RN101 openai,RN101,openai,0.3755344418052256,0.6430720506730008,0.62292,0.7353186565067787,0.7441860465116279,343.4930114746094,5.7181782722473145,4.097267150878906,0.3273010988474369,0.34325581395348836,0.9471545219421387,0.8068656325340271,0.7750428915023804,0.6620900630950928
35,imagenet1k,RN101 openai,RN101,openai,0.62292,0.88268,0.62292,0.636473023289439,0.6500190468552639,252.9756317138672,5.940751075744629,5.607625484466553,0.36273504009303753,0.38179922609619665,0.8079723119735718,0.7046440243721008,0.664626955986023,0.7041242122650146
36,kitti_closest_vehicle_distance,RN101 openai,RN101,openai,0.2770745428973277,1.0,0.62292,0.7885466303607896,0.795,214.38296508789062,-1.5246350765228271,-3.3712596893310547,0.5060919023429985,0.51,0.9195147752761841,0.7450785636901855,0.729067862033844,0.8243674635887146
37,mnist,RN101 openai,RN101,openai,0.5169833333333334,0.9056833333333332,0.62292,0.29365458728365523,0.364,425.6688537597656,-3.7676594257354736,-3.597346544265747,0.2567491894619392,0.266,0.9778667688369751,0.6577515602111816,0.6486843228340149,0.7945625185966492
