,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9469050127415035,0.9533625880191856,660.6089477539062,13.632680892944336,9.521564483642578,0.6316914498615024,0.6407796713950403,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8480190193345014,0.8640096134588424,357.12591552734375,7.370706558227539,1.6603060960769653,0.4650814056159939,0.48588023232525535,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.36157996941890064,0.38,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.20272088368012797,0.2,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.17259586183981362,0.21,742.699951171875,-4.436077117919922,-3.9639945030212402,0.1837909040669267,0.1825,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7656499667317349,0.7795260663507109,455.1136779785156,6.757547378540039,3.922215223312378,0.3023978438423599,0.329478672985782,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6408474469501968,0.64,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3702017167296464,0.384,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.45957300168623355,0.46,1018.1295166015625,1.1525671482086182,0.7452268600463867,0.3178381302843199,0.32666666666666666,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6705930196082608,0.7029787234042553,295.8448181152344,3.1062982082366943,0.08202406018972397,0.24311730284275337,0.26340425531914896,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9481324193740127,0.948,720.2166137695312,1.9208475351333618,-1.4212079048156738,0.45146085875825975,0.464,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9159587517953415,0.9142857142857143,347.6981201171875,1.5519119501113892,-0.914469838142395,0.47530108657534326,0.4714285714285714,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
