,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9409744684569536,0.9479538728441678,660.6089477539062,13.34598445892334,9.30629825592041,0.624649791967639,0.6356771099091744,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8442793374309561,0.8620068095333467,357.12591552734375,7.402768611907959,1.6265925168991089,0.4602054953943035,0.4796715401562187,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.36665985087037717,0.38666666666666666,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.22140205007383676,0.22,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.16522687638553252,0.2025,742.699951171875,-4.436077117919922,-3.9639945030212402,0.22437941504710474,0.225,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.758562204514268,0.7741232227488152,455.1136779785156,6.697719573974609,3.8096935749053955,0.3051744982467587,0.33109004739336495,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6370349947787993,0.636,705.5601806640625,1.7374608516693115,0.5250592231750488,0.34810218725517805,0.36,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.46228707095680144,0.4633333333333333,1018.1295166015625,1.143693208694458,0.7385656237602234,0.3142468283261019,0.3333333333333333,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6689948704924493,0.7029787234042553,295.8448181152344,3.0761890411376953,0.03167445585131645,0.24131308403500532,0.25872340425531914,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9421754625963862,0.942,720.2166137695312,1.9553180932998657,-1.3513805866241455,0.4726578912635415,0.472,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.942373380096937,0.9428571428571428,347.6981201171875,5.308644771575928,1.562026858329773,0.42931458444181947,0.43142857142857144,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.963733536857225,0.9693877551020408,514.1784057617188,16.006446838378906,6.015350341796875,0.7883942174723213,0.7953296703296703,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7037300246164451,0.7148837209302326,627.3285522460938,8.219356536865234,6.150166988372803,0.2894186085520656,0.3041860465116279,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6280339598791311,0.6426809952483108,467.0438232421875,8.143280982971191,7.697287082672119,0.352308977434867,0.37205525592958677,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7775261339130285,0.79,465.54461669921875,-0.9297590255737305,-4.011248588562012,0.45003627211030967,0.45,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3706617569973648,0.412,624.01123046875,-4.112975597381592,-4.27752685546875,0.24965003450035486,0.25,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.6161616161616162,0.62,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9672500814845822,0.9708108108108108,488.1847229003906,13.025306701660156,4.963858127593994,0.784483978194903,0.7945945945945946,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.8098288459613652,0.81,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.40840473276213796,0.42,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8121874869430898,0.8231111111111111,398.235595703125,5.592198371887207,1.2806646823883057,0.42752116933539147,0.4408888888888889,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.9558718718933774,0.956,239.72740173339844,2.2743544578552246,-2.3792309761047363,0.5440884546601769,0.556,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
