Model,Dataset,ECE,ACE,Accuracy
convnext_base_laion400m_s13b_b51k,cars,0.012861954048275948,0.01130636315792799,0.8396149811693572
convnext_base_laion400m_s13b_b51k,cifar100,0.15119819343090057,0.15134665369987488,0.6483
convnext_base_laion400m_s13b_b51k,clevr_closest_object_distance,0.5717487931251526,0.5717487335205078,0.16241755962088528
convnext_base_laion400m_s13b_b51k,clevr_count_all,0.2261258363723755,0.2261258214712143,0.21353861240079475
convnext_base_laion400m_s13b_b51k,country211,0.30076301097869873,0.30073389410972595,0.1700947867298578
convnext_base_laion400m_s13b_b51k,diabetic_retinopathy,0.16227547824382782,0.16224168241024017,0.2940594072997074
convnext_base_laion400m_s13b_b51k,dmlab,0.3823241889476776,0.3821922540664673,0.19188332053332924
convnext_base_laion400m_s13b_b51k,dtd,0.21038003265857697,0.21083901822566986,0.5335106382978724
convnext_base_laion400m_s13b_b51k,eurosat,0.21549184620380402,0.21519117057323456,0.47048018732867547
convnext_base_laion400m_s13b_b51k,fer2013,0.41019779443740845,0.41019198298454285,0.22574551036020005
convnext_base_laion400m_s13b_b51k,flowers,0.07427895069122314,0.07195925712585449,0.6917180750151933
convnext_base_laion400m_s13b_b51k,gtsrb,0.0924651250243187,0.09554477781057358,0.40580099464629293
convnext_base_laion400m_s13b_b51k,kitti_closest_vehicle_distance,0.37517446279525757,0.3753846287727356,0.3029572998807466
convnext_base_laion400m_s13b_b51k,mnist,0.051416296511888504,0.05344490706920624,0.6022611998322059
convnext_base_laion400m_s13b_b51k,pcam,0.2361375391483307,0.23676320910453796,0.6108627167801303
convnext_base_laion400m_s13b_b51k,pets,0.017126712948083878,0.013739611953496933,0.8850273751251726
convnext_base_laion400m_s13b_b51k,renderedsst2,0.19214405119419098,0.19179870188236237,0.5378199004110937
convnext_base_laion400m_s13b_b51k,resisc45,0.0978856086730957,0.0978856086730957,0.6374547204209324
convnext_base_laion400m_s13b_b51k,stl10,0.017797507345676422,0.016900325194001198,0.965625
convnext_base_laion400m_s13b_b51k,sun397,0.12773996591567993,0.12773030996322632,0.663687934869762
convnext_base_laion400m_s13b_b51k,svhn,0.11809477210044861,0.11811887472867966,0.3081080730811042
convnext_base_laion400m_s13b_b51k,voc2007,0.13303127884864807,0.13307663798332214,0.7869016252002915
convnext_large_d_laion2b_s26b_b102k_augreg,cars,0.010243711993098259,0.012082334607839584,0.9316248900120794
convnext_large_d_laion2b_s26b_b102k_augreg,cifar100,0.035093653947114944,0.034359320998191833,0.8323999999999999
convnext_large_d_laion2b_s26b_b102k_augreg,clevr_closest_object_distance,0.3576003313064575,0.35760027170181274,0.1662669679751941
convnext_large_d_laion2b_s26b_b102k_augreg,clevr_count_all,0.05056172236800194,0.050561726093292236,0.3591405499753073
convnext_large_d_laion2b_s26b_b102k_augreg,country211,0.1815163642168045,0.1815546154975891,0.252654028436019
